algorithm,trunc_bits,repetition,target_message,target_hex,candidate_length_bytes,candidate_mode,search_mode,lanes_per_rep,found,trials,expected_trials,log2_trials,ratio_to_expected,seconds,matched_hex,candidate_index,candidate_word,candidate_hex
SpVSH-320,8,6,"TRUNCATED_PREIMAGE_TARGET_001|rep=6",0x4d,8,sequential_counter,dynamic_work_stealing_safe,0,yes,47,256,5.554589,0.18359375,0.000408,0x4d,46,46,2e00000000000000
SpVSH-320,8,13,"TRUNCATED_PREIMAGE_TARGET_001|rep=13",0x24,8,sequential_counter,dynamic_work_stealing_safe,0,yes,44,256,5.459432,0.17187500,0.000692,0x24,43,43,2b00000000000000
SpVSH-320,8,9,"TRUNCATED_PREIMAGE_TARGET_001|rep=9",0x51,8,sequential_counter,dynamic_work_stealing_safe,0,yes,9,256,3.169925,0.03515625,0.000417,0x51,8,8,0800000000000000
SpVSH-320,8,5,"TRUNCATED_PREIMAGE_TARGET_001|rep=5",0x97,8,sequential_counter,dynamic_work_stealing_safe,0,yes,100,256,6.643856,0.39062500,0.000495,0x97,99,99,6300000000000000
SpVSH-320,8,10,"TRUNCATED_PREIMAGE_TARGET_001|rep=10",0x45,8,sequential_counter,dynamic_work_stealing_safe,0,yes,20,256,4.321928,0.07812500,0.000468,0x45,19,19,1300000000000000
SpVSH-320,8,3,"TRUNCATED_PREIMAGE_TARGET_001|rep=3",0x29,8,sequential_counter,dynamic_work_stealing_safe,0,yes,87,256,6.442943,0.33984375,0.000437,0x29,86,86,5600000000000000
SpVSH-320,8,4,"TRUNCATED_PREIMAGE_TARGET_001|rep=4",0x32,8,sequential_counter,dynamic_work_stealing_safe,0,yes,138,256,7.108524,0.53906250,0.000567,0x32,137,137,8900000000000000
SpVSH-320,8,7,"TRUNCATED_PREIMAGE_TARGET_001|rep=7",0x8a,8,sequential_counter,dynamic_work_stealing_safe,0,yes,191,256,7.577429,0.74609375,0.000661,0x8a,190,190,be00000000000000
SpVSH-320,8,8,"TRUNCATED_PREIMAGE_TARGET_001|rep=8",0xa3,8,sequential_counter,dynamic_work_stealing_safe,0,yes,135,256,7.076816,0.52734375,0.000654,0xa3,134,134,8600000000000000
SpVSH-320,8,1,"TRUNCATED_PREIMAGE_TARGET_001|rep=1",0xd9,8,sequential_counter,dynamic_work_stealing_safe,0,yes,438,256,8.774787,1.71093750,0.001100,0xd9,437,437,b501000000000000
SpVSH-320,8,2,"TRUNCATED_PREIMAGE_TARGET_001|rep=2",0x66,8,sequential_counter,dynamic_work_stealing_safe,0,yes,307,256,8.262095,1.19921875,0.000896,0x66,306,306,3201000000000000
SpVSH-320,8,11,"TRUNCATED_PREIMAGE_TARGET_001|rep=11",0x88,8,sequential_counter,dynamic_work_stealing_safe,0,yes,327,256,8.353147,1.27734375,0.001149,0x88,326,326,4601000000000000
SpVSH-320,8,28,"TRUNCATED_PREIMAGE_TARGET_001|rep=28",0xdf,8,sequential_counter,dynamic_work_stealing_safe,0,yes,24,256,4.584963,0.09375000,0.001375,0xdf,23,23,1700000000000000
SpVSH-320,8,17,"TRUNCATED_PREIMAGE_TARGET_001|rep=17",0x18,8,sequential_counter,dynamic_work_stealing_safe,0,yes,21,256,4.392317,0.08203125,0.001069,0x18,20,20,1400000000000000
SpVSH-320,8,25,"TRUNCATED_PREIMAGE_TARGET_001|rep=25",0xf7,8,sequential_counter,dynamic_work_stealing_safe,0,yes,94,256,6.554589,0.36718750,0.001424,0xf7,93,93,5d00000000000000
SpVSH-320,8,22,"TRUNCATED_PREIMAGE_TARGET_001|rep=22",0x97,8,sequential_counter,dynamic_work_stealing_safe,0,yes,100,256,6.643856,0.39062500,0.001373,0x97,99,99,6300000000000000
SpVSH-320,8,23,"TRUNCATED_PREIMAGE_TARGET_001|rep=23",0xa7,8,sequential_counter,dynamic_work_stealing_safe,0,yes,183,256,7.515700,0.71484375,0.001505,0xa7,182,182,b600000000000000
SpVSH-320,8,14,"TRUNCATED_PREIMAGE_TARGET_001|rep=14",0x98,8,sequential_counter,dynamic_work_stealing_safe,0,yes,287,256,8.164907,1.12109375,0.000941,0x98,286,286,1e01000000000000
SpVSH-320,8,24,"TRUNCATED_PREIMAGE_TARGET_001|rep=24",0xb6,8,sequential_counter,dynamic_work_stealing_safe,0,yes,397,256,8.632995,1.55078125,0.001540,0xb6,396,396,8c01000000000000
SpVSH-320,8,43,"TRUNCATED_PREIMAGE_TARGET_001|rep=43",0x5a,8,sequential_counter,dynamic_work_stealing_safe,0,yes,5,256,2.321928,0.01953125,0.001600,0x5a,4,4,0400000000000000
SpVSH-320,8,40,"TRUNCATED_PREIMAGE_TARGET_001|rep=40",0xa8,8,sequential_counter,dynamic_work_stealing_safe,0,yes,45,256,5.491853,0.17578125,0.001600,0xa8,44,44,2c00000000000000
SpVSH-320,8,39,"TRUNCATED_PREIMAGE_TARGET_001|rep=39",0xcd,8,sequential_counter,dynamic_work_stealing_safe,0,yes,8,256,3.000000,0.03125000,0.001539,0xcd,7,7,0700000000000000
SpVSH-320,8,44,"TRUNCATED_PREIMAGE_TARGET_001|rep=44",0x8d,8,sequential_counter,dynamic_work_stealing_safe,0,yes,3,256,1.584963,0.01171875,0.001613,0x8d,2,2,0200000000000000
SpVSH-320,8,12,"TRUNCATED_PREIMAGE_TARGET_001|rep=12",0x3b,8,sequential_counter,dynamic_work_stealing_safe,0,yes,158,256,7.303781,0.61718750,0.000873,0x3b,157,157,9d00000000000000
SpVSH-320,8,31,"TRUNCATED_PREIMAGE_TARGET_001|rep=31",0x5b,8,sequential_counter,dynamic_work_stealing_safe,0,yes,150,256,7.228819,0.58593750,0.001696,0x5b,149,149,9500000000000000
SpVSH-320,8,15,"TRUNCATED_PREIMAGE_TARGET_001|rep=15",0x90,8,sequential_counter,dynamic_work_stealing_safe,0,yes,66,256,6.044394,0.25781250,0.001062,0x90,65,65,4100000000000000
SpVSH-320,8,32,"TRUNCATED_PREIMAGE_TARGET_001|rep=32",0x6e,8,sequential_counter,dynamic_work_stealing_safe,0,yes,207,256,7.693487,0.80859375,0.001840,0x6e,206,206,ce00000000000000
SpVSH-320,8,30,"TRUNCATED_PREIMAGE_TARGET_001|rep=30",0xa0,8,sequential_counter,dynamic_work_stealing_safe,0,yes,236,256,7.882643,0.92187500,0.001867,0xa0,235,235,eb00000000000000
SpVSH-320,8,0,"TRUNCATED_PREIMAGE_TARGET_001|rep=0",0x98,8,sequential_counter,dynamic_work_stealing_safe,0,yes,287,256,8.164907,1.12109375,0.000796,0x98,286,286,1e01000000000000
SpVSH-320,8,29,"TRUNCATED_PREIMAGE_TARGET_001|rep=29",0x17,8,sequential_counter,dynamic_work_stealing_safe,0,yes,228,256,7.832890,0.89062500,0.001824,0x17,227,227,e300000000000000
SpVSH-320,8,26,"TRUNCATED_PREIMAGE_TARGET_001|rep=26",0xf1,8,sequential_counter,dynamic_work_stealing_safe,0,yes,267,256,8.060696,1.04296875,0.001827,0xf1,266,266,0a01000000000000
SpVSH-320,8,48,"TRUNCATED_PREIMAGE_TARGET_001|rep=48",0x9a,8,sequential_counter,dynamic_work_stealing_safe,0,yes,36,256,5.169925,0.14062500,0.001759,0x9a,35,35,2300000000000000
SpVSH-320,8,34,"TRUNCATED_PREIMAGE_TARGET_001|rep=34",0x6d,8,sequential_counter,dynamic_work_stealing_safe,0,yes,278,256,8.118941,1.08593750,0.002020,0x6d,277,277,1501000000000000
SpVSH-320,8,21,"TRUNCATED_PREIMAGE_TARGET_001|rep=21",0xe0,8,sequential_counter,dynamic_work_stealing_safe,0,yes,1059,256,10.048487,4.13671875,0.002030,0xe0,20539,20539,3b50000000000000
SpVSH-320,8,38,"TRUNCATED_PREIMAGE_TARGET_001|rep=38",0x2f,8,sequential_counter,dynamic_work_stealing_safe,0,yes,216,256,7.754888,0.84375000,0.001966,0x2f,215,215,d700000000000000
SpVSH-320,8,16,"TRUNCATED_PREIMAGE_TARGET_001|rep=16",0x57,8,sequential_counter,dynamic_work_stealing_safe,0,yes,688,256,9.426265,2.68750000,0.001892,0x57,4163,4163,4310000000000000
SpVSH-320,8,36,"TRUNCATED_PREIMAGE_TARGET_001|rep=36",0x05,8,sequential_counter,dynamic_work_stealing_safe,0,yes,249,256,7.960002,0.97265625,0.001989,0x05,248,248,f800000000000000
SpVSH-320,8,42,"TRUNCATED_PREIMAGE_TARGET_001|rep=42",0xde,8,sequential_counter,dynamic_work_stealing_safe,0,yes,172,256,7.426265,0.67187500,0.001959,0xde,171,171,ab00000000000000
SpVSH-320,8,20,"TRUNCATED_PREIMAGE_TARGET_001|rep=20",0xe3,8,sequential_counter,dynamic_work_stealing_safe,0,yes,90,256,6.491853,0.35156250,0.001335,0xe3,89,89,5900000000000000
SpVSH-320,8,45,"TRUNCATED_PREIMAGE_TARGET_001|rep=45",0x27,8,sequential_counter,dynamic_work_stealing_safe,0,yes,1039,256,10.020980,4.05859375,0.002272,0x27,768,768,0003000000000000
SpVSH-320,8,37,"TRUNCATED_PREIMAGE_TARGET_001|rep=37",0x53,8,sequential_counter,dynamic_work_stealing_safe,0,yes,276,256,8.108524,1.07812500,0.002059,0x53,4101,4101,0510000000000000
SpVSH-320,8,41,"TRUNCATED_PREIMAGE_TARGET_001|rep=41",0xd9,8,sequential_counter,dynamic_work_stealing_safe,0,yes,940,256,9.876517,3.67187500,0.002304,0xd9,53262,53262,0ed0000000000000
SpVSH-320,8,35,"TRUNCATED_PREIMAGE_TARGET_001|rep=35",0x30,8,sequential_counter,dynamic_work_stealing_safe,0,yes,317,256,8.308339,1.23828125,0.002063,0x30,8205,8205,0d20000000000000
SpVSH-320,8,49,"TRUNCATED_PREIMAGE_TARGET_001|rep=49",0xf9,8,sequential_counter,dynamic_work_stealing_safe,0,yes,433,256,8.758223,1.69140625,0.002331,0xf9,40961,40961,01a0000000000000
